Graph Genus,Time,Method
450,1.9813041687011719,rounding
450,4.486319303512573,nearest
450,2.0855212211608887,rounding
450,4.535952091217041,nearest
450,1.9900791645050049,rounding
450,4.5176661014556885,nearest
450,1.987393856048584,rounding
450,4.630664825439453,nearest
450,2.000481367111206,rounding
450,4.530925035476685,nearest
450,2.0104146003723145,rounding
450,4.564378023147583,nearest
450,1.9966588020324707,rounding
450,4.521204233169556,nearest
450,2.1147539615631104,rounding
450,4.604287624359131,nearest
500,2.709484338760376,rounding
500,5.114856243133545,nearest
500,2.815573215484619,rounding
500,5.251272439956665,nearest
500,2.766270399093628,rounding
500,5.009891033172607,nearest
500,2.7193236351013184,rounding
500,5.183560132980347,nearest
500,2.7211406230926514,rounding
500,5.163912057876587,nearest
500,2.861048460006714,rounding
500,5.245240926742554,nearest
500,2.7911438941955566,rounding
500,5.202831029891968,nearest
500,2.6673452854156494,rounding
500,5.246456861495972,nearest
500,2.7875936031341553,rounding
500,5.267001152038574,nearest
500,2.689545154571533,rounding
500,5.202357530593872,nearest
550,3.5985028743743896,rounding
550,6.187542676925659,nearest
550,3.734572172164917,rounding
550,6.214384317398071,nearest
550,3.5899055004119873,rounding
550,6.2028210163116455,nearest
550,3.679814100265503,rounding
550,6.152205467224121,nearest
550,3.5591235160827637,rounding
550,6.117006778717041,nearest
550,3.664612293243408,rounding
550,6.255301237106323,nearest
550,3.555962085723877,rounding
550,6.30601692199707,nearest
550,3.7489163875579834,rounding
550,6.214146137237549,nearest
550,3.682778835296631,rounding
550,6.280771732330322,nearest
550,3.6717567443847656,rounding
550,6.145331621170044,nearest
